[2023-04-29 00:50:29,044] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-04-29 00:50:40,022] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
[2023-04-29 00:54:14,556] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-04-29 00:54:18,319] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-04-29 00:54:19,840] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-04-29 00:54:45,368] 	INFO 	101 	pair_data.py 	<module>() 	Pair Data Ended
[2023-04-29 00:54:46,614] 	INFO 	38 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-04-29 00:56:12,707] 	INFO 	152 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-04-29 02:01:51,222] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-04-29 02:01:59,835] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
